date,lat,long,num_pickups
12/11/2009,0,0,9073
5/16/2009,0,0,9030
12/18/2009,0,0,8997
12/5/2009,0,0,8973
2/6/2009,0,0,8867
12/4/2009,0,0,8717
5/14/2009,0,0,8688
12/12/2009,0,0,8568
12/10/2009,0,0,8557
2/13/2009,0,0,8471
2/14/2009,0,0,8466
12/17/2009,0,0,8449
5/15/2009,0,0,8448
1/24/2009,0,0,8396
5/5/2009,0,0,8263
2/12/2009,0,0,8258
1/10/2009,0,0,8206
1/23/2009,0,0,8130
5/1/2009,0,0,8106
5/8/2009,0,0,8102
12/16/2009,0,0,8072
1/31/2009,0,0,8058
5/17/2009,0,0,8055
12/15/2009,0,0,8045
11/12/2009,0,0,7998
11/13/2009,0,0,7969
5/2/2009,0,0,7965
11/20/2009,0,0,7952
2/7/2009,0,0,7950
4/24/2009,0,0,7937
5/9/2009,0,0,7927
11/19/2009,0,0,7908
1/30/2009,0,0,7905
2/5/2009,0,0,7900
1/9/2009,0,0,7847
12/8/2009,0,0,7837
2/20/2009,0,0,7809
5/7/2009,0,0,7799
11/21/2009,0,0,7775
3/13/2009,0,0,7764
12/3/2009,0,0,7759
11/6/2009,0,0,7753
12/19/2009,0,0,7731
11/5/2009,0,0,7731
5/20/2009,0,0,7712
4/30/2009,0,0,7696
11/7/2009,0,0,7682
1/27/2009,0,0,7679
11/14/2009,0,0,7678
1/8/2009,0,0,7672
4/23/2009,0,0,7661
1/16/2009,0,0,7643
4/18/2009,0,0,7640
5/13/2009,0,0,7636
12/2/2009,0,0,7623
5/6/2009,0,0,7612
5/21/2009,0,0,7599
1/22/2009,0,0,7571
3/14/2009,0,0,7562
5/19/2009,0,0,7548
12/13/2009,0,0,7532
5/12/2009,0,0,7517
12/9/2009,0,0,7490
1/17/2009,0,0,7488
12/6/2009,0,0,7444
3/12/2009,0,0,7443
4/22/2009,0,0,7435
4/16/2009,0,0,7365
2/19/2009,0,0,7352
4/25/2009,0,0,7333
4/17/2009,0,0,7330
4/20/2009,0,0,7328
12/1/2009,0,0,7305
4/14/2009,0,0,7299
4/29/2009,0,0,7292
5/10/2009,0,0,7279
1/25/2009,0,0,7278
5/3/2009,0,0,7256
3/19/2009,0,0,7219
2/28/2009,0,0,7210
4/15/2009,0,0,7200
2/27/2009,0,0,7196
5/11/2009,0,0,7186
1/29/2009,0,0,7183
4/21/2009,0,0,7168
2/21/2009,0,0,7145
4/11/2009,0,0,7129
2/15/2009,0,0,7123
4/4/2009,0,0,7100
5/18/2009,0,0,7096
2/8/2009,0,0,7092
2/18/2009,0,0,7079
10/31/2009,0,0,7063
11/11/2009,0,0,7050
4/7/2009,0,0,7034
11/4/2009,0,0,7017
5/4/2009,0,0,7008
3/6/2009,0,0,7006
4/3/2009,0,0,6971
10/30/2009,0,0,6949
1/14/2009,0,0,6942
12/14/2009,0,0,6930
12/7/2009,0,0,6918
4/19/2009,0,0,6904
11/22/2009,0,0,6896
11/17/2009,0,0,6892
3/11/2009,0,0,6892
1/28/2009,0,0,6890
5/22/2009,0,0,6879
2/11/2009,0,0,6877
1/15/2009,0,0,6874
11/18/2009,0,0,6872
2/26/2009,0,0,6870
1/6/2009,0,0,6862
12/22/2009,0,0,6822
12/31/2009,0,0,6817
4/28/2009,0,0,6812
3/10/2009,0,0,6785
4/10/2009,0,0,6773
12/23/2009,0,0,6772
4/8/2009,0,0,6738
2/10/2009,0,0,6674
2/3/2009,0,0,6666
11/10/2009,0,0,6662
1/18/2009,0,0,6659
3/18/2009,0,0,6650
11/24/2009,0,0,6641
1/21/2009,0,0,6640
